,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
125,205,CDK11A,ENSG00000008128,0.0,1.0,1.0,1,0
126,206,NADK,ENSG00000008130,0.0,1.0,1.0,30,0
127,212,SYPL1,ENSG00000008282,0.0,1.0,1.0,8,0
128,213,CYB561,ENSG00000008283,0.0,1.0,1.0,2,0
129,214,SPAG9,ENSG00000008294,0.0,1.0,1.0,11,0
130,215,CELSR3,ENSG00000008300,0.0,1.0,1.0,2,0
131,216,AASS,ENSG00000008311,0.0,1.0,1.0,2,0
132,218,SS18L2,ENSG00000008324,0.0,1.0,1.0,5,0
133,219,MPND,ENSG00000008382,0.0,1.0,1.0,4,0
134,220,MGST1,ENSG00000008394,0.0,1.0,1.0,8,0
135,221,CRY1,ENSG00000008405,0.0,1.0,1.0,5,0
136,224,ST3GAL1,ENSG00000008513,0.0,1.0,1.0,10,0
137,225,MMP25,ENSG00000008516,0.0,1.0,1.0,5,0
138,226,IL32,ENSG00000008517,0.0,1.0,1.0,6,0
139,228,MAPK8IP2,ENSG00000008735,0.0,1.0,1.0,1,0
140,229,MED24,ENSG00000008838,0.0,1.0,1.0,3,0
141,230,RHOBTB2,ENSG00000008853,0.0,1.0,1.0,4,0
142,231,HEATR5B,ENSG00000008869,0.0,1.0,1.0,6,0
143,232,SEC62,ENSG00000008952,0.0,1.0,1.0,26,0
144,233,RPS20,ENSG00000008988,0.0,1.0,1.0,56,0
145,234,CSDE1,ENSG00000009307,0.0,1.0,1.0,49,0
146,235,UBE3C,ENSG00000009335,0.0,1.0,1.0,16,0
147,236,REV3L,ENSG00000009413,0.0,1.0,1.0,6,0
148,237,TENM1,ENSG00000009694,0.0,1.0,1.0,1,0
149,241,FAM76A,ENSG00000009780,0.0,1.0,1.0,3,0
150,242,TRAF3IP3,ENSG00000009790,0.0,1.0,1.0,18,0
151,243,POMT2,ENSG00000009830,0.0,1.0,1.0,1,0
152,244,VTA1,ENSG00000009844,0.0,1.0,1.0,8,0
153,246,BAZ1B,ENSG00000009954,0.0,1.0,1.0,17,0
154,247,RANBP9,ENSG00000010017,0.0,1.0,1.0,11,0
155,248,ETV7,ENSG00000010030,0.0,1.0,1.0,3,0
156,249,SPRTN,ENSG00000010072,0.0,1.0,1.0,3,0
157,250,METTL13,ENSG00000010165,0.0,1.0,1.0,5,0
158,251,DYRK4,ENSG00000010219,0.0,1.0,1.0,1,0
159,252,ZNF207,ENSG00000010244,0.0,1.0,1.0,18,0
160,253,UQCRC1,ENSG00000010256,0.0,1.0,1.0,29,0
161,254,STARD3NL,ENSG00000010270,0.0,1.0,1.0,8,0
162,255,CD9,ENSG00000010278,0.0,1.0,1.0,3,0
163,257,NCAPD2,ENSG00000010292,0.0,1.0,1.0,5,0
164,258,IFFO1,ENSG00000010295,0.0,1.0,1.0,7,0
165,260,PHF7,ENSG00000010318,0.0,1.0,1.0,2,0
166,262,NISCH,ENSG00000010322,0.0,1.0,1.0,10,0
167,263,STAB1,ENSG00000010327,0.0,1.0,1.0,27,0
168,264,FUZ,ENSG00000010361,0.0,1.0,1.0,3,0
169,268,ZNF200,ENSG00000010539,0.0,1.0,1.0,1,0
170,269,CD4,ENSG00000010610,0.0,1.0,1.0,17,0
171,270,LRRC23,ENSG00000010626,0.0,1.0,1.0,2,0
172,271,BTK,ENSG00000010671,0.0,1.0,1.0,20,0
173,272,HFE,ENSG00000010704,0.0,1.0,1.0,5,0
174,273,SCMH1,ENSG00000010803,0.0,1.0,1.0,2,0
175,274,FYN,ENSG00000010810,0.0,1.0,1.0,21,0
176,275,HIVEP2,ENSG00000010818,0.0,1.0,1.0,8,0
177,276,FMO1,ENSG00000010932,0.0,1.0,1.0,1,0
178,277,ELOA,ENSG00000011007,0.0,1.0,1.0,10,0
179,278,LYPLA2,ENSG00000011009,0.0,1.0,1.0,8,0
180,279,CLCN6,ENSG00000011021,0.0,1.0,1.0,8,0
181,284,BTBD7,ENSG00000011114,0.0,1.0,1.0,10,0
182,285,APBA3,ENSG00000011132,0.0,1.0,1.0,4,0
183,286,MKS1,ENSG00000011143,0.0,1.0,1.0,1,0
184,287,ABHD5,ENSG00000011198,0.0,1.0,1.0,4,0
185,289,AKAP8L,ENSG00000011243,0.0,1.0,1.0,9,0
186,290,MBTD1,ENSG00000011258,0.0,1.0,1.0,5,0
187,291,UTP18,ENSG00000011260,0.0,1.0,1.0,7,0
188,292,RNF216,ENSG00000011275,0.0,1.0,1.0,15,0
189,293,TTC19,ENSG00000011295,0.0,1.0,1.0,5,0
190,294,PTBP1,ENSG00000011304,0.0,1.0,1.0,18,0
191,297,LARS2,ENSG00000011376,0.0,1.0,1.0,4,0
192,298,PIK3C2A,ENSG00000011405,0.0,1.0,1.0,9,0
193,299,PLAUR,ENSG00000011422,0.0,1.0,1.0,29,0
194,300,ANLN,ENSG00000011426,0.0,1.0,1.0,2,0
195,301,WIZ,ENSG00000011451,0.0,1.0,1.0,1,0
196,302,RABGAP1,ENSG00000011454,0.0,1.0,1.0,12,0
197,304,QPCTL,ENSG00000011478,0.0,1.0,1.0,1,0
198,305,PPP5C,ENSG00000011485,0.0,1.0,1.0,1,0
199,306,CEP68,ENSG00000011523,0.0,1.0,1.0,4,0
200,309,TYROBP,ENSG00000011600,0.0,1.0,1.0,77,0
201,310,LDAF1,ENSG00000011638,0.0,1.0,1.0,1,0
202,312,BRCA1,ENSG00000012048,0.0,1.0,1.0,2,0
203,313,ERCC1,ENSG00000012061,0.0,1.0,1.0,3,0
204,314,CD22,ENSG00000012124,0.0,1.0,1.0,2,0
205,316,MBTPS2,ENSG00000012174,0.0,1.0,1.0,5,0
206,318,LTF,ENSG00000012223,0.0,1.0,1.0,1,0
207,319,EXTL3,ENSG00000012232,0.0,1.0,1.0,7,0
208,321,ELOVL5,ENSG00000012660,0.0,1.0,1.0,18,0
209,322,ALOX5,ENSG00000012779,0.0,1.0,1.0,32,0
210,323,KDM5D,ENSG00000012817,0.0,1.0,1.0,9,0
211,324,CALCOCO1,ENSG00000012822,0.0,1.0,1.0,8,0
212,325,UBR7,ENSG00000012963,0.0,1.0,1.0,3,0
213,326,MAP4K5,ENSG00000012983,0.0,1.0,1.0,8,0
214,327,EHD3,ENSG00000013016,0.0,1.0,1.0,1,0
215,328,PSMC4,ENSG00000013275,0.0,1.0,1.0,8,0
216,329,MAN2B2,ENSG00000013288,0.0,1.0,1.0,10,0
217,330,SLC7A14,ENSG00000013293,0.0,1.0,1.0,1,0
218,332,SLC25A39,ENSG00000013306,0.0,1.0,1.0,5,0
219,333,MVP,ENSG00000013364,0.0,1.0,1.0,26,0
220,334,NUB1,ENSG00000013374,0.0,1.0,1.0,19,0
221,335,PGM3,ENSG00000013375,0.0,1.0,1.0,5,0
222,337,CLK1,ENSG00000013441,0.0,1.0,1.0,13,0
223,338,POLR3B,ENSG00000013503,0.0,1.0,1.0,1,0
224,340,RNF14,ENSG00000013561,0.0,1.0,1.0,3,0
225,341,DNASE1L1,ENSG00000013563,0.0,1.0,1.0,3,0
226,343,HEBP1,ENSG00000013583,0.0,1.0,1.0,8,0
227,346,CD6,ENSG00000013725,0.0,1.0,1.0,1,0
228,347,TACC3,ENSG00000013810,0.0,1.0,1.0,9,0
229,348,UFL1,ENSG00000014123,0.0,1.0,1.0,8,0
230,349,POLA2,ENSG00000014138,0.0,1.0,1.0,5,0
231,350,ZC3H3,ENSG00000014164,0.0,1.0,1.0,4,0
232,351,CAPN1,ENSG00000014216,0.0,1.0,1.0,16,0
233,352,ACP3,ENSG00000014257,0.0,1.0,1.0,8,0
